,states
0,Alaska
1,Arizona
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Indiana
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Minnesota
12,Mississippi
13,Missouri
14,New Hampshire
15,New Mexico
16,North Dakota
17,South Dakota
18,Vermont
19,West Virginia
20,Wisconsin
21,Wyoming
